rid,key,def
|ime__:forecast_word|,|予測入力|,|これまでの入力内容から、使用される語句を IME が予測して入力する方法。|

|ime__:kanni_kanyou_font|,|簡易慣用字体|,|印刷標準字体の略字体などとして比較的慣用度の高い字体。|

|ime__:print_normal_font|,|印刷標準字体|,|常用漢字表以外の表外漢字を印刷するときの標準的な字体。|

|ime__:env_caracter|,|環境依存文字|,|文字コードなどの環境で使用できる / できないが決まる文字。|

|ime__:okurigana|,|送りがなとかな遣いの基準|,|候補一覧に表示する送りがなの送り方を決める基準です。|

|ime__:imetoolbar|,|IME ツール バー|,|入力モード、変換モードの切り替えなど、さまざまな設定を行うための便利なボタンが集められています。IME パッドの起動、単語登録用のダイアログ ボックスの表示なども、ボタンをクリックするだけで行えます。
左端の部分をマウスでドラッグすると、自由に場所を移動できます。IME ツール バーに表示するボタンは、IME ツール バーの右端の [▼] をクリックし、［プロパティ] などをクリックして表示/非表示を切り替えることができます。|

|ime__:shift_jis_code|,|シフト JIS コード|,|JIS コードを、1 バイト文字のコードと重ならないコードに変換したものです。JIS コード体系と同様に、16 進数で表します。|

|ime__:jis_code|,|JIS コード|,|区点コードを 16 進数のコードに変換したものです。区番号 ×0202 ＋ 点番号 ×100 が JIS コードになります。0202、100 は、ともに 16 進数で、それぞれ、10 進数の 8224、256 になります。|

|ime__:kuten_code|,|区点コード|,|2 バイト文字全体を 1 ～ 119 の "区" に分け、1 つの区を 1 ～ 94 の "点" に分けて表します。たとえば、01601 という区点コードが割り当てられている文字 (亜) は、16 区 01 点になります。逆に、47 区 32 点の文字 (論) は、区点コード 04732 になります。シフト JIS、JIS コードと違い、区点コードは 10 進数で表します。|

|ime__:unicode|,|Unicode|,|Unicode は、世界各国の文字に対応できる 2 バイト文字のコード体系です。すべての文字を統一的に扱えます。Unicode は、IME パッドの文字一覧アプレットで確認できます。|

|ime__:romaji_input|,|ローマ字入力|,|ローマ字読みで日本語を入力します。押すキーは、[Ａ] キー ～ [Ｚ] キーの 26 キーなので、かな入力より少ないキー数で入力できます。
ただし、"か" を [Ｋ] キーと [Ａ] キーの 2 キーを押すので、かな入力よりキーを押す数が増えます。|

|ime__:kana_input|,|かな入力|,|キーに書かれているかなで日本語を入力します。押すキーは、[あ] キー ～ [ん] キーとローマ字入力より多いキー数で入力します。
ただし、ローマ字入力と違って、[か] キーを 1 回押すだけで "か" を入力でき、ローマ字入力よりキーを押す数が少なくなります。|

|ime__:learn|,|学習|,|前回変換した単語を、次回より出やすくします。よく使う漢字などを、すばやく入力できるようになります。|

|ime__:dakuon|,|濁音|,|が行、ざ行、だ行、ば行の文字。|

|ime__:youon|,|拗音|,|小さいひらがなの "ゃ"、"ゅ"、"ょ"。|

|ime__:sokuon|,|促音|,|"いっき" などにある小さいひらがなの "っ"。|

|ime__:handakuon|,|半濁音|,|ぱ行の文字。|

|ime__:input_dakuon_roma|,|濁音の入力|,|が行は [G] キー、ざ行は [Z] キーまたは [J] キー、だ行は [D] キー、ば行は [B] キーを使います。
なお、濁点 (゛) のみの入力は、「"」 や 「だくてん」 と入力して変換できます。濁点のみの入力では、「た゛」 と 2 文字になり、「だ」 (1 文字) とは異なります。|

|ime__:input_dakuon_kana|,|濁音の入力|,|"だ" などの濁音は、"た" などの清音の後に [゛] キーを押します。|

|ime__:input_youon|,|拗音の入力|,|｢じゃ｣ は、Z Y A。
｢じゅ｣ は、Z Y U。
｢じょ｣ は、Z Y O、などとキーを押します。
J Y A、J Y U、J Y O とキーを押しても、 ｢じゃ｣、｢じゅ｣、｢じょ｣ を入力できます。|

|ime__:input_sokuon|,|促音の入力|,|"いっき" などで "っ" の後に続く子音キーを 2 回押します。|

|ime__:input_handakuon_roma|,|半濁音の入力|,|"ぱ" などの半濁音は、[P] キーを押します。なお、半濁点 (゜) は、"’" や、"はんだくてん" と入力して変換することもできます。|

|ime__:input_handakuon_kana|,|半濁音の入力|,| "ぱ" などの半濁音は、"は" などの清音の後に [゜] キーを押します。|

|ime__:input_n|,| "ん" の入力|,| "ん"  の入力では、基本的には [N] キーを 2 回押します。
ただし、"ん"  の後に子音が続くときは、1 回押すだけで済みます。
たいへんこんなん　→　T A I H E N K O N N N A N N。
なお、"たいへんこんなん" を "大変困難" に変換するときの最後の "ん" は、[N] キーを 1 回押して "たいへんこんなｎ" でも "大変困難" に変換できます。|

|ime__:input_smallcar_roma|,|小さいひらがな / カタカナの入力|,|小さいひらがなを単独で入力するときは、[X] キーを押した後、大文字の読みを入力します。
っ　→　X T U。
ぁ　→　X A。
"かっき" や "りょうり" の促音や拗音も同じようにして入力できます。|

